Gene,Non-unique Gene name,Annotation,GCF_000007545.1_ASM754v1_genomic,GCF_000020745.1_ASM2074v1_genomic,GCF_000020885.1_ASM2088v1_genomic,GCF_000020925.1_ASM2092v1_genomic,GCF_000022165.1_ASM2216v1_genomic,GCF_000170215.1_ASM17021v1_genomic,GCF_000170255.1_ASM17025v1_genomic,GCF_000171255.1_ASM17125v1_genomic,GCF_000171275.1_ASM17127v1_genomic,GCF_000171315.1_ASM17131v1_genomic,GCF_000171415.1_ASM17141v1_genomic,GCF_000171515.1_ASM17151v1_genomic,GCF_000171535.2_ASM17153v2_genomic
fadR,fadR,FadR family transcriptional regulator,,,BEJGEH_03101,HFCAGB_03314,AJBGEP_03261,ODDLKH_03521,OEKLIE_04511,,PAPNPA_00162,BENMGJ_02344,IKCLMC_03770,PKJKAM_00303,ONMMKP_03769
group_882,,Electron transfer flavoprotein subunit beta,,LNHIMF_00983,,HFCAGB_00937,AJBGEP_00882,ODDLKH_01348,OEKLIE_02856,ALJMDI_01195,,BENMGJ_04521,IKCLMC_01456,PKJKAM_01039,ONMMKP_01257
stfD,stfD,fimbrial chaperone StfD,,,BEJGEH_00218,HFCAGB_00208,AJBGEP_00209,ODDLKH_00682,OEKLIE_04795,,PAPNPA_03709,BENMGJ_00227,IKCLMC_03001,PKJKAM_00710,ONMMKP_01967
group_877,,Helix-turn-helix domain-containing protein,,,BEJGEH_03569,HFCAGB_03773,AJBGEP_03722,ODDLKH_03982,OEKLIE_03905,,PAPNPA_01616,BENMGJ_02891,IKCLMC_02857,PKJKAM_03834,ONMMKP_03312
ripC,ripC,itaconate degradation C-C-lyase RipC,,LNHIMF_03165,,HFCAGB_03347,AJBGEP_03295,ODDLKH_03554,OEKLIE_04477,ALJMDI_02889,,BENMGJ_01838,IKCLMC_03737,PKJKAM_01954,ONMMKP_03720
group_769,,fumarate hydratase,,,BEJGEH_00763,HFCAGB_00843,AJBGEP_00787,ODDLKH_01256,OEKLIE_00852,,PAPNPA_03243,BENMGJ_04430,IKCLMC_00053,PKJKAM_00449,ONMMKP_01394
group_715,,Sulfatase N-terminal domain-containing protein,GEGEGB_03805,LNHIMF_04065,BEJGEH_04071,HFCAGB_04264,AJBGEP_04223,ODDLKH_04471,OEKLIE_00256,ALJMDI_00924,PAPNPA_01261,,IKCLMC_00656,,
ripR,ripR,itaconate degradation transcriptional regulator RipR,,LNHIMF_03166,,HFCAGB_03348,AJBGEP_03296,ODDLKH_03555,OEKLIE_04476,ALJMDI_02890,,BENMGJ_01839,IKCLMC_03736,PKJKAM_01953,ONMMKP_03719
group_692,lysR,Transcriptional regulator lysR family,,,BEJGEH_00764,HFCAGB_00844,AJBGEP_00788,ODDLKH_01257,OEKLIE_00853,,PAPNPA_03244,BENMGJ_04431,IKCLMC_00052,PKJKAM_00450,ONMMKP_01393
stm0859,stm0859,STM0859 family transcriptional regulator,,LNHIMF_00989,,HFCAGB_00943,AJBGEP_00888,ODDLKH_01354,OEKLIE_02862,ALJMDI_01200,,BENMGJ_04527,IKCLMC_01462,PKJKAM_01033,ONMMKP_01251
tagK,tagK,type VI secretion system-associated protein TagK,GEGEGB_02731,LNHIMF_00283,,HFCAGB_00286,AJBGEP_00286,ODDLKH_00759,OEKLIE_00275,,PAPNPA_01828,BENMGJ_03866,IKCLMC_02020,PKJKAM_03483,
group_674,,2-keto-3-deoxy-galactonate aldolase,,,BEJGEH_03568,HFCAGB_03772,AJBGEP_03721,ODDLKH_03981,OEKLIE_03904,,PAPNPA_01615,BENMGJ_02890,IKCLMC_02858,PKJKAM_03835,ONMMKP_03313
group_636,lysR,Transcriptional regulator lysR family,,,BEJGEH_00765,HFCAGB_00845,AJBGEP_00789,ODDLKH_01258,OEKLIE_00854,,PAPNPA_03245,BENMGJ_04432,IKCLMC_00051,PKJKAM_00451,ONMMKP_01392
group_599,,Electron transfer flavoprotein alpha/beta-subunit N-terminal domain-containing protein,,LNHIMF_00984,,HFCAGB_00938,AJBGEP_00883,ODDLKH_01349,OEKLIE_02857,ALJMDI_01196,,BENMGJ_04522,IKCLMC_01457,PKJKAM_01038,ONMMKP_01256
lysR,lysR,LysR family transcriptional regulator,,,BEJGEH_00342,HFCAGB_00353,AJBGEP_00353,ODDLKH_00822,OEKLIE_01849,,PAPNPA_01907,BENMGJ_03993,IKCLMC_02094,PKJKAM_03409,ONMMKP_01827
group_560,,Dicarboxylate-binding periplasmic protein,,,BEJGEH_03192,HFCAGB_03399,AJBGEP_03347,ODDLKH_03605,OEKLIE_04426,,PAPNPA_02287,BENMGJ_01889,IKCLMC_03686,PKJKAM_01903,ONMMKP_03668
stcD,stcD,Stc fimbria adhesin StcD,GEGEGB_00756,,BEJGEH_02183,,AJBGEP_02315,ODDLKH_02650,OEKLIE_03782,,PAPNPA_04287,BENMGJ_02514,IKCLMC_01842,PKJKAM_03982,ONMMKP_04691
group_431,,Glycerol dehydrogenase,,,BEJGEH_03565,HFCAGB_03769,AJBGEP_03718,ODDLKH_03978,OEKLIE_03901,,PAPNPA_01612,BENMGJ_02887,IKCLMC_02861,PKJKAM_03838,ONMMKP_03316
group_391,,Acyl-CoA dehydrogenase,,LNHIMF_00986,,HFCAGB_00940,AJBGEP_00885,ODDLKH_01351,OEKLIE_02859,ALJMDI_01198,,BENMGJ_04524,IKCLMC_01459,PKJKAM_01036,ONMMKP_01254
group_312,,Anion transporter,,,BEJGEH_00766,HFCAGB_00846,AJBGEP_00790,ODDLKH_01259,OEKLIE_00855,,PAPNPA_03246,BENMGJ_04433,IKCLMC_00050,PKJKAM_00452,ONMMKP_01391
group_306,,undecaprenyl-diphosphate phosphatase,,LNHIMF_03638,,HFCAGB_03837,AJBGEP_03785,ODDLKH_04044,OEKLIE_03968,ALJMDI_02467,,BENMGJ_02953,IKCLMC_02794,PKJKAM_03772,ONMMKP_03250
icmH,icmH,type IVB secretion system protein IcmH/DotU,GEGEGB_02719,LNHIMF_00296,,HFCAGB_00295,AJBGEP_00297,ODDLKH_00771,OEKLIE_01793,,PAPNPA_01840,BENMGJ_03878,IKCLMC_02035,PKJKAM_03472,
group_283,,TRAP transporter large permease protein,,,BEJGEH_03194,HFCAGB_03401,AJBGEP_03349,ODDLKH_03607,OEKLIE_04424,,PAPNPA_02289,BENMGJ_01891,IKCLMC_03684,PKJKAM_01901,ONMMKP_03666
ripA,ripA,itaconate CoA-transferase RipA/Ict,,LNHIMF_03163,,HFCAGB_03345,AJBGEP_03293,ODDLKH_03552,OEKLIE_04479,ALJMDI_02887,,BENMGJ_01836,IKCLMC_03739,PKJKAM_01956,ONMMKP_03722
group_264,,Major facilitator superfamily (MFS) profile domain-containing protein,,,BEJGEH_03566,HFCAGB_03770,AJBGEP_03719,ODDLKH_03979,OEKLIE_03902,,PAPNPA_01613,BENMGJ_02888,IKCLMC_02860,PKJKAM_03837,ONMMKP_03315
tssK,tssK,type VI secretion system-associated protein,GEGEGB_02720,LNHIMF_00295,,HFCAGB_00294,AJBGEP_00296,ODDLKH_00770,OEKLIE_01792,,PAPNPA_01839,BENMGJ_03877,IKCLMC_02034,PKJKAM_03473,
leuC2,leuC2,3-isopropylmalate dehydratase large subunit 2,,,BEJGEH_00338,HFCAGB_00349,AJBGEP_00349,ODDLKH_00818,OEKLIE_01845,,PAPNPA_01903,BENMGJ_03988,IKCLMC_02090,PKJKAM_03413,ONMMKP_01831
group_203,,D-mannonate oxidoreductase,,,BEJGEH_03100,HFCAGB_03313,AJBGEP_03260,ODDLKH_03520,OEKLIE_04512,,PAPNPA_00163,BENMGJ_02343,IKCLMC_03771,PKJKAM_00304,ONMMKP_03770
rpsA,rpsA,30S ribosomal protein S1,GEGEGB_02063,LNHIMF_01070,BEJGEH_00938,HFCAGB_01026,AJBGEP_00973,ODDLKH_01438,,ALJMDI_01281,,,IKCLMC_01546,PKJKAM_00950,ONMMKP_01166
hscC,hscC,molecular chaperone HscC,,,BEJGEH_00669,HFCAGB_00753,AJBGEP_00683,ODDLKH_01152,OEKLIE_04282,,PAPNPA_02687,BENMGJ_04325,IKCLMC_02481,PKJKAM_00365,ONMMKP_01496
group_138,,Electron transfer flavoprotein-ubiquinone oxidoreductase,,LNHIMF_00988,,HFCAGB_00942,AJBGEP_00887,ODDLKH_01353,OEKLIE_02861,ALJMDI_01199,,BENMGJ_04526,IKCLMC_01461,PKJKAM_01034,ONMMKP_01252
group_129,,Dihydroxyacid dehydratase,,,BEJGEH_03567,HFCAGB_03771,AJBGEP_03720,ODDLKH_03980,OEKLIE_03903,,PAPNPA_01614,BENMGJ_02889,IKCLMC_02859,PKJKAM_03836,ONMMKP_03314
group_124,,Periplasmic protein,,,BEJGEH_02008,HFCAGB_02267,AJBGEP_02168,ODDLKH_02502,OEKLIE_00127,,PAPNPA_00047,BENMGJ_00037,IKCLMC_00045,PKJKAM_04152,ONMMKP_00021
group_122,,Arylsulfatase,,LNHIMF_03167,,HFCAGB_03349,AJBGEP_03297,ODDLKH_03556,OEKLIE_04475,ALJMDI_02891,,BENMGJ_01840,IKCLMC_03735,PKJKAM_01952,ONMMKP_03718
fusA,fusA,elongation factor G,GEGEGB_04292,LNHIMF_03499,BEJGEH_03476,HFCAGB_03682,AJBGEP_03630,ODDLKH_03892,,,PAPNPA_00015,,IKCLMC_02947,PKJKAM_03916,ONMMKP_03392
group_60,,Tetratricopeptide repeat protein,,,BEJGEH_02007,HFCAGB_02266,AJBGEP_02167,ODDLKH_02501,OEKLIE_00126,,PAPNPA_00046,BENMGJ_00038,IKCLMC_00044,PKJKAM_04153,ONMMKP_00022
stjB,stjB,StjB fimbria biogenesis outer membrane usher protein StjB,,,BEJGEH_04674,,AJBGEP_04789,ODDLKH_00448,OEKLIE_04558,ALJMDI_03996,PAPNPA_03463,BENMGJ_00756,IKCLMC_03237,PKJKAM_02134,ONMMKP_02209
group_27,,Fimbrial outer membrane usher,,,BEJGEH_00217,HFCAGB_00207,AJBGEP_00208,ODDLKH_00681,OEKLIE_04794,,PAPNPA_03708,BENMGJ_00228,IKCLMC_03002,PKJKAM_00711,ONMMKP_01968
group_3678,,Phage integrase protein;Phage integrase;Integrase;Cytoplasmic protein,,,,HFCAGB_01403,AJBGEP_01955,ODDLKH_02351,OEKLIE_01386,,PAPNPA_00702,BENMGJ_03762,IKCLMC_04304,PKJKAM_04316,ONMMKP_00176
group_3621,,Coiled-coil protein,GEGEGB_01554,,BEJGEH_01524,,AJBGEP_01641,ODDLKH_02041,OEKLIE_02191,ALJMDI_03373,PAPNPA_03906,,,PKJKAM_04631;PKJKAM_04630,ONMMKP_00492
group_3573,oadB2;,Oxaloacetate decarboxylase beta chain 2;sodium ion-translocating decarboxylase subunit beta,,,BEJGEH_00769,HFCAGB_00849,AJBGEP_00793,ODDLKH_01262,OEKLIE_00858,,PAPNPA_03249,BENMGJ_04436,IKCLMC_01363,,ONMMKP_01388
group_3524,;orfA;tnp,hypothetical protein;IS3 transposase orfA;IS3 family transposase ORF B,,,BEJGEH_00334,HFCAGB_00343,AJBGEP_00344,ODDLKH_00813,OEKLIE_01840,,PAPNPA_01898,,IKCLMC_02086,PKJKAM_03420,ONMMKP_01836
group_3522,,KPN_01571 family protein;hypothetical protein,GEGEGB_01481,,,3_refound_123,4_refound_163,5_refound_205,6_refound_259,,8_refound_336,9_refound_381,IKCLMC_04688,,12_refound_495
group_3521,oadA,sodium-extruding oxaloacetate decarboxylase subunit alpha,,,BEJGEH_00768,HFCAGB_00848,AJBGEP_00792,ODDLKH_01261,OEKLIE_00857,,PAPNPA_03248,BENMGJ_04435,,PKJKAM_00454,ONMMKP_01389
casA,casA,type I-E CRISPR-associated protein Cse1/CasA,,,BEJGEH_02941,HFCAGB_03153,AJBGEP_03109,ODDLKH_03369,OEKLIE_01990,,PAPNPA_03044,BENMGJ_02173,IKCLMC_03923,,ONMMKP_03927
group_3506,cas7e,type I-E CRISPR-associated protein Cas7/Cse4/CasC,,,BEJGEH_02939,HFCAGB_03151,AJBGEP_03107,ODDLKH_03367,OEKLIE_01988,,PAPNPA_03042,BENMGJ_02171,IKCLMC_03925,,ONMMKP_03929
group_3503,lysR,LysR family transcriptional regulator,GEGEGB_00035,LNHIMF_00032,BEJGEH_00033,HFCAGB_00033,AJBGEP_00032,ODDLKH_00508,OEKLIE_04618,,,,IKCLMC_03177,PKJKAM_02073,
group_3478,,Cytoplasmic protein,,LNHIMF_00313,BEJGEH_00303,HFCAGB_00315,AJBGEP_00314,ODDLKH_00785,OEKLIE_01810,,PAPNPA_01869,,IKCLMC_02059,PKJKAM_03449,
group_3468,,Glycosyltransferase family 2 protein,GEGEGB_02268,LNHIMF_00865,,,AJBGEP_00749,ODDLKH_01218,OEKLIE_02118,ALJMDI_01071,,BENMGJ_04393,IKCLMC_00407,,ONMMKP_01432
group_3426,;supH,Sugar phosphatase;Putative hydrolase;Sugar phosphatase SupH;Cof-type HAD-IIB family hydrolase;HAD family hydrolase,,,BEJGEH_00841,HFCAGB_00922,AJBGEP_00867,ODDLKH_01333,OEKLIE_02841,,PAPNPA_03330,,IKCLMC_01441,PKJKAM_01054,ONMMKP_01274
sspH2,sspH2,SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2,GEGEGB_00669,,,HFCAGB_02500,AJBGEP_02410,ODDLKH_02745,OEKLIE_02413,,,BENMGJ_02608,IKCLMC_01759,PKJKAM_03030,ONMMKP_04605
sciR,;sciR,Shiga toxin A subunit;Shiga-like toxin A subunit SciR,,LNHIMF_00298;LNHIMF_00299,,HFCAGB_00297,AJBGEP_00299,ODDLKH_00773,OEKLIE_01795,,PAPNPA_01842,BENMGJ_03880,IKCLMC_02037,PKJKAM_03470,
group_3382,tuf,elongation factor Tu,GEGEGB_04293,LNHIMF_03498,BEJGEH_03475,HFCAGB_03681,AJBGEP_03629,ODDLKH_03891,,,PAPNPA_00011,,,PKJKAM_03917,ONMMKP_03393
group_3380,,Phage late control D family protein,,,BEJGEH_04269,,AJBGEP_04418,ODDLKH_00066,OEKLIE_03360,,PAPNPA_02727,BENMGJ_01384,IKCLMC_01014,PKJKAM_01312,ONMMKP_02582
group_3368,,DUF4060 domain-containing protein,GEGEGB_02035,,,HFCAGB_01052,AJBGEP_01000,,OEKLIE_01716,ALJMDI_01304,,BENMGJ_01224,IKCLMC_01572,PKJKAM_00140,ONMMKP_01140
group_3355,,Soluble lytic murein transglycosylase,,,BEJGEH_04279,,AJBGEP_04428,ODDLKH_00076,OEKLIE_03370,,PAPNPA_02737,BENMGJ_01394,IKCLMC_01024,PKJKAM_01302,ONMMKP_02572
group_3354,,Cytoplasmic protein,,,BEJGEH_04277,,AJBGEP_04426,ODDLKH_00074,OEKLIE_03368,,PAPNPA_02735,BENMGJ_01392,IKCLMC_01022,PKJKAM_01304,ONMMKP_02574
group_3333,,Cytoplasmic protein,GEGEGB_01596,,,HFCAGB_01684,AJBGEP_01688,ODDLKH_02088,OEKLIE_02238,,,BENMGJ_03497,IKCLMC_04571,PKJKAM_04583,ONMMKP_00445
group_3304,,Integrase;Integrase catalytic domain-containing protein;integrase core domain-containing protein;Transposase;Integrase core domain protein,GEGEGB_02700,LNHIMF_00315,,HFCAGB_00317,AJBGEP_00317,ODDLKH_00788,OEKLIE_01813,,,,IKCLMC_02060,PKJKAM_03446,ONMMKP_01870
group_3295,,Phage tail assembly protein,,,BEJGEH_04273,,AJBGEP_04422,ODDLKH_00070,OEKLIE_03364,,PAPNPA_02731,BENMGJ_01388,IKCLMC_01018,PKJKAM_01308,ONMMKP_02578
group_3292,,hypothetical protein;Putative membrane protein;Integrase,GEGEGB_03099,LNHIMF_03077,,HFCAGB_03256,4_refound_162_pseudo,,6_refound_257_pseudo,,PAPNPA_03147,,IKCLMC_03827,11_refound_459_pseudo,ONMMKP_03825
group_3284,,Inner membrane protein,GEGEGB_02277,LNHIMF_00857,,,AJBGEP_00741,ODDLKH_01210,OEKLIE_02110,ALJMDI_01063,,BENMGJ_04384,IKCLMC_00415,,ONMMKP_01440
fljB,fljB;,Phase 2 flagellin;Flagellin,,LNHIMF_02805,,,AJBGEP_02931,ODDLKH_03192,,ALJMDI_01425,PAPNPA_00638,BENMGJ_00626,IKCLMC_04099,PKJKAM_02613,ONMMKP_04105
group_3270,,Baseplate protein J-like domain-containing protein,,,BEJGEH_04264,,AJBGEP_04413,ODDLKH_00060,OEKLIE_03355,,PAPNPA_02722,BENMGJ_01378,IKCLMC_01008,PKJKAM_01317,ONMMKP_02587
group_3251,,Glycosyltransferase family 2 protein;glycosyltransferase;Glycosyltransferase,GEGEGB_02270;GEGEGB_02269,LNHIMF_00864,,,AJBGEP_00748,ODDLKH_01217,OEKLIE_02117,ALJMDI_01070,,BENMGJ_04392,IKCLMC_00408,,ONMMKP_01433
group_3232,,Cytoplasmic protein;Glycosyl transferase,GEGEGB_02265,LNHIMF_00867,,,AJBGEP_00751,ODDLKH_01220,OEKLIE_02120,ALJMDI_01073,,BENMGJ_04395,IKCLMC_00405,,ONMMKP_01430
group_3202,cas6e,type I-E CRISPR-associated protein Cas6/Cse3/CasE,,,BEJGEH_02937,HFCAGB_03149,AJBGEP_03105,ODDLKH_03365,OEKLIE_01986,,PAPNPA_03040,BENMGJ_02169,IKCLMC_03927,,ONMMKP_03931
group_3170,cas5e,type I-E CRISPR-associated protein Cas5/CasD,,,BEJGEH_02938,HFCAGB_03150,AJBGEP_03106,ODDLKH_03366,OEKLIE_01987,,PAPNPA_03041,BENMGJ_02170,IKCLMC_03926,,ONMMKP_03930
yibR,;yibR,Glycosyltransferase family 8 protein;Glycosyl transferase family 8;Uncharacterized protein YibR,,,BEJGEH_03766,HFCAGB_03970,AJBGEP_03917,ODDLKH_04175,OEKLIE_00968,,,BENMGJ_03084,IKCLMC_02662,PKJKAM_03640,ONMMKP_03116
group_3157,,Glycosyltransferase,GEGEGB_02274,LNHIMF_00860,,,AJBGEP_00744,ODDLKH_01213,OEKLIE_02113,ALJMDI_01066,,BENMGJ_04388,IKCLMC_00412,,ONMMKP_01437
rfbN,rfbN,O antigen biosynthesis rhamnosyltransferase RfbN,GEGEGB_00837,LNHIMF_02228,BEJGEH_02106,HFCAGB_02348,AJBGEP_02249,ODDLKH_02583,OEKLIE_03714,ALJMDI_01833,,BENMGJ_02447,,,
group_3102,,CRISPR-associated helicase Cas3;Helicase,,,BEJGEH_02942,HFCAGB_03155;HFCAGB_03154,AJBGEP_03110,ODDLKH_03370,OEKLIE_01991,,PAPNPA_03045,BENMGJ_02174,IKCLMC_03922,,ONMMKP_03926
casB,casB,type I-E CRISPR-associated protein Cse2/CasB,,,BEJGEH_02940,HFCAGB_03152,AJBGEP_03108,ODDLKH_03368,OEKLIE_01989,,PAPNPA_03043,BENMGJ_02172,IKCLMC_03924,,ONMMKP_03928
group_3088,,Transcriptional regulator;Putative transcriptional regulator,GEGEGB_00036,LNHIMF_00033,BEJGEH_00034,HFCAGB_00034,AJBGEP_00033,ODDLKH_00509,OEKLIE_04619,,,,IKCLMC_03176,PKJKAM_02072,
group_3036,,Peptidase;Protease;Endoprotease,,,BEJGEH_02003,HFCAGB_02262,AJBGEP_02164,ODDLKH_02498,OEKLIE_00123,,PAPNPA_00043,,IKCLMC_00041,PKJKAM_04157,ONMMKP_00025
fljA,fljA,phase 1 flagellin gene repressor FljA,,LNHIMF_02804,,,AJBGEP_02930,ODDLKH_03191,,ALJMDI_01426,PAPNPA_00637,BENMGJ_00625,IKCLMC_04100,PKJKAM_02614,ONMMKP_04106
glf,;glf,UDP-galactopyranose mutase,GEGEGB_02275,LNHIMF_00859,,,AJBGEP_00743,ODDLKH_01212,OEKLIE_02112,ALJMDI_01065,,BENMGJ_04386;BENMGJ_04387,IKCLMC_00413,,ONMMKP_01438
group_2976,,Glycosyl transferase;hypothetical protein,GEGEGB_02266;GEGEGB_02267,LNHIMF_00866,,,AJBGEP_00750,ODDLKH_01219,OEKLIE_02119,ALJMDI_01072,,BENMGJ_04394,IKCLMC_00406,,ONMMKP_01431
orfA~~~tnp,;orfA;tnp,Transposase;ISPsy11 transposase OrfA;IS3 family ISSen1 transposase ORF A,,LNHIMF_00819,BEJGEH_00692,,AJBGEP_00941,ODDLKH_01406,OEKLIE_02915,,PAPNPA_00875,,IKCLMC_00032,PKJKAM_00016,ONMMKP_01198
group_2928,,Cytoplasmic protein,,,BEJGEH_02896,,AJBGEP_03070,ODDLKH_03330,OEKLIE_01951,,PAPNPA_03003,BENMGJ_02134,IKCLMC_03962,PKJKAM_02475,ONMMKP_03966
group_2921,,Tail fiber protein of phage;Side tail fiber protein,GEGEGB_00668,,,HFCAGB_02502;HFCAGB_02501,AJBGEP_02411,ODDLKH_02746,OEKLIE_02414,,,BENMGJ_02609,IKCLMC_01758,PKJKAM_03028;PKJKAM_03029,ONMMKP_04604
rpsC,rpsC,30S ribosomal protein S3,GEGEGB_04304,LNHIMF_03487,BEJGEH_03464,HFCAGB_03670,AJBGEP_03618,ODDLKH_03880,,,,,IKCLMC_00121,PKJKAM_00090,ONMMKP_03404
rfbU,rfbU,O-antigen chain mannosyltransferase RfbU,GEGEGB_00836,LNHIMF_02229,BEJGEH_02107,HFCAGB_02349,AJBGEP_02250,ODDLKH_02584,OEKLIE_03715,ALJMDI_01834,,BENMGJ_02448,,,
group_2790,,Phage tail protein,,,BEJGEH_04272,,AJBGEP_04421,ODDLKH_00069,OEKLIE_03363,,PAPNPA_02730,BENMGJ_01387,IKCLMC_01017,PKJKAM_01309,ONMMKP_02579
group_2773,,Phage baseplate component,,,BEJGEH_04268,,AJBGEP_04417,ODDLKH_00065,OEKLIE_03359,,PAPNPA_02726,BENMGJ_01383,IKCLMC_01013,PKJKAM_01313,ONMMKP_02583
group_2766,;cdaR,sugar diacid recognition domain-containing protein;CdaR family transcriptional regulator;Regulatory protein,GEGEGB_00398;GEGEGB_00399,LNHIMF_02632,BEJGEH_02524,HFCAGB_02769,,,,ALJMDI_01665,PAPNPA_02092,,IKCLMC_01286,PKJKAM_02772,ONMMKP_04347
group_2757,,ABC transporter permease protein,GEGEGB_02272,LNHIMF_00862,,,AJBGEP_00746,ODDLKH_01215,OEKLIE_02115,ALJMDI_01068,,BENMGJ_04390,IKCLMC_00410,,ONMMKP_01435
group_2754,,Cytoplasmic protein;Putative cytoplasmic protein,GEGEGB_02276,LNHIMF_00858,,,AJBGEP_00742,ODDLKH_01211,OEKLIE_02111,ALJMDI_01064,,BENMGJ_04385,IKCLMC_00414,,ONMMKP_01439
group_2733,,Cytoplasmic protein,GEGEGB_02647,,BEJGEH_00364,HFCAGB_00375,4_refound_157_pseudo,5_refound_198_pseudo,6_refound_248_pseudo,,8_refound_331,,10_refound_411,11_refound_453,
group_2692,,Sel1 repeat family protein,,,BEJGEH_00446,HFCAGB_00462,AJBGEP_00458,ODDLKH_00926,OEKLIE_02791,,,BENMGJ_04098,IKCLMC_02200,PKJKAM_03304,ONMMKP_01719
group_2685,,DUF4261 domain-containing protein,,,BEJGEH_00840,HFCAGB_00920,AJBGEP_00866,ODDLKH_01332,OEKLIE_02840,,PAPNPA_03329,,IKCLMC_01440,PKJKAM_01056,ONMMKP_01275
tlde1,;tlde1,DUF2778 domain-containing protein;type VI secretion system effector tlde1 LD-transpeptidase,GEGEGB_02710,,,HFCAGB_00301,AJBGEP_00303,ODDLKH_00777,OEKLIE_01799,,PAPNPA_01856,BENMGJ_03886,IKCLMC_02043,PKJKAM_03464,
group_2588,tnp,IS3 family ISSen1 transposase,,LNHIMF_00818,BEJGEH_00691,,AJBGEP_00940,ODDLKH_01405,OEKLIE_02914,,8_refound_325_pseudo,,IKCLMC_00033,PKJKAM_00159,ONMMKP_01199
group_2567,ninG,Protein ninG,GEGEGB_02013,LNHIMF_02187,,HFCAGB_01070,AJBGEP_01017,5_refound_194,OEKLIE_01733,,,BENMGJ_01245,10_refound_407,,ONMMKP_01120
group_2379,,Transposase,,,,3_refound_98,4_refound_139,5_refound_179,6_refound_229,ALJMDI_01193,,9_refound_362,10_refound_395,11_refound_441,12_refound_476
group_2377,,hypothetical protein,,1_refound_32_pseudo,BEJGEH_00015,HFCAGB_00015,4_refound_131_pseudo,5_refound_172_pseudo,6_refound_221_pseudo,,PAPNPA_03506,BENMGJ_00712,,PKJKAM_02091,
rpmD,rpmD,50S ribosomal protein L30,GEGEGB_04316,LNHIMF_03475,BEJGEH_03452,HFCAGB_03658,AJBGEP_03606,ODDLKH_03868,,,,,IKCLMC_00133,PKJKAM_00102,ONMMKP_03416
rpmC,rpmC,50S ribosomal protein L29,GEGEGB_04306,LNHIMF_03485,BEJGEH_03462,HFCAGB_03668,AJBGEP_03616,ODDLKH_03878,,,,,IKCLMC_00123,PKJKAM_00092,ONMMKP_03406
group_2245,,Gp12,,,BEJGEH_04276,,AJBGEP_04425,ODDLKH_00073,OEKLIE_03367,,PAPNPA_02734,BENMGJ_01391,IKCLMC_01021,PKJKAM_01305,ONMMKP_02575
group_2202,,Phage Tail Protein X,,,BEJGEH_04270,,AJBGEP_04419,ODDLKH_00067,OEKLIE_03361,,PAPNPA_02728,BENMGJ_01385,IKCLMC_01015,PKJKAM_01311,ONMMKP_02581
group_2090,,PTS system maltose- and glucose-specific EIICB component,GEGEGB_01412,,,HFCAGB_01815,4_refound_125_pseudo,5_refound_167_pseudo,6_refound_212_pseudo,,,9_refound_341_pseudo,IKCLMC_04709,11_refound_422_pseudo,12_refound_461_pseudo
xis,xis,excisionase Xis,GEGEGB_02036,,,HFCAGB_01051,AJBGEP_00999,,OEKLIE_01715,ALJMDI_01303,,BENMGJ_01223,IKCLMC_01571,PKJKAM_00139,ONMMKP_01141
rpsQ,rpsQ,30S ribosomal protein S17,GEGEGB_04307,LNHIMF_03484,BEJGEH_03461,HFCAGB_03667,AJBGEP_03615,ODDLKH_03877,,,,,IKCLMC_00124,PKJKAM_00093,ONMMKP_03407
group_1909,,Holin,,,BEJGEH_04280,,AJBGEP_04429,ODDLKH_00077,OEKLIE_03371,,PAPNPA_02738,BENMGJ_01395,IKCLMC_01025,PKJKAM_01301,ONMMKP_02571
rplW,rplW,50S ribosomal protein L23,GEGEGB_04300,LNHIMF_03491,BEJGEH_03468,HFCAGB_03674,AJBGEP_03622,ODDLKH_03884,,,,,IKCLMC_00117,PKJKAM_03924,ONMMKP_03400
rpsN,rpsN,30S ribosomal protein S14,GEGEGB_04311,LNHIMF_03480,BEJGEH_03457,HFCAGB_03663,AJBGEP_03611,ODDLKH_03873,,,,,IKCLMC_00128,PKJKAM_00097,ONMMKP_03411
group_1815,,Inner membrane protein,,,BEJGEH_04278,,AJBGEP_04427,ODDLKH_00075,OEKLIE_03369,,PAPNPA_02736,BENMGJ_01393,IKCLMC_01023,PKJKAM_01303,ONMMKP_02573
rplX,rplX,50S ribosomal protein L24,GEGEGB_04309,LNHIMF_03482,BEJGEH_03459,HFCAGB_03665,AJBGEP_03613,ODDLKH_03875,,,,,IKCLMC_00126,PKJKAM_00095,ONMMKP_03409
group_1684,,Phage baseplate protein,,,BEJGEH_04265,,AJBGEP_04414,ODDLKH_00061,OEKLIE_03356,,PAPNPA_02723,BENMGJ_01379,IKCLMC_01009,PKJKAM_01316,ONMMKP_02586
group_1647,,CHAP domain-containing protein,GEGEGB_00531,,,HFCAGB_02639,AJBGEP_02546,ODDLKH_02881,OEKLIE_02030,,,BENMGJ_02742,IKCLMC_01622,PKJKAM_02895,ONMMKP_04470
rplN,rplN,50S ribosomal protein L14,GEGEGB_04308,LNHIMF_03483,BEJGEH_03460,HFCAGB_03666,AJBGEP_03614,ODDLKH_03876,,,,,IKCLMC_00125,PKJKAM_00094,ONMMKP_03408
